Industry,Day,Objective,Platform,Amount spent (IDR),Impressions,Reach,Link clicks
Skincare,19/05/2021,LINK_CLICKS,facebook,267176,57893,50912,1649
Skincare,19/05/2021,LINK_CLICKS,instagram,31114,6174,6174,67
Skincare,20/05/2021,LINK_CLICKS,facebook,335360,73435,66321,2025
Skincare,20/05/2021,LINK_CLICKS,instagram,46525,7262,7262,82
Skincare,21/05/2021,LINK_CLICKS,facebook,296894,61995,55824,1595
Skincare,21/05/2021,LINK_CLICKS,instagram,38230,7744,7152,47
Skincare,22/05/2021,LINK_CLICKS,facebook,298643,55564,50432,1487
Skincare,22/05/2021,LINK_CLICKS,instagram,20160,5305,5072,32
Skincare,23/05/2021,LINK_CLICKS,facebook,270934,56296,50128,1538
Skincare,23/05/2021,LINK_CLICKS,instagram,5804,2220,2220,10
Skincare,24/05/2021,LINK_CLICKS,facebook,252356,51264,47120,1471
Skincare,24/05/2021,LINK_CLICKS,instagram,23791,4600,4336,39
Skincare,25/05/2021,LINK_CLICKS,facebook,266491,45286,41296,1360
Skincare,25/05/2021,LINK_CLICKS,instagram,21253,4030,4030,32
Skincare,26/05/2021,LINK_CLICKS,facebook,278651,50412,46208,1387
Skincare,26/05/2021,LINK_CLICKS,instagram,2951,1116,1116,5
Skincare,27/05/2021,LINK_CLICKS,facebook,258438,44178,39250,1135
Skincare,27/05/2021,LINK_CLICKS,instagram,13067,2022,1984,17
Skincare,28/05/2021,LINK_CLICKS,facebook,271128,47182,41960,1290
Skincare,28/05/2021,LINK_CLICKS,instagram,24059,3572,3472,27
Skincare,29/05/2021,LINK_CLICKS,facebook,289971,46501,42994,1210
Skincare,29/05/2021,LINK_CLICKS,instagram,19695,2855,2855,21
Skincare,30/05/2021,LINK_CLICKS,facebook,125853,25800,21600,650
Skincare,30/05/2021,LINK_CLICKS,instagram,24862,3735,3648,40
Skincare,31/05/2021,LINK_CLICKS,facebook,43358,12253,7792,204
Skincare,31/05/2021,LINK_CLICKS,instagram,17517,2775,2660,15
Skincare,03/06/2021,LINK_CLICKS,facebook,62901,12686,11802,229
Skincare,03/06/2021,LINK_CLICKS,instagram,250,33,33,2
Skincare,04/06/2021,LINK_CLICKS,facebook,240973,50490,43650,1321
Skincare,04/06/2021,LINK_CLICKS,instagram,8784,1606,1606,24
Skincare,05/06/2021,LINK_CLICKS,facebook,322056,68374,61812,1492
Skincare,05/06/2021,LINK_CLICKS,instagram,8098,2173,2051,14
Skincare,06/06/2021,LINK_CLICKS,facebook,308405,71269,63941,1478
Skincare,06/06/2021,LINK_CLICKS,instagram,34694,10458,10206,49
Skincare,07/06/2021,LINK_CLICKS,facebook,316531,72717,66488,1665
Skincare,07/06/2021,LINK_CLICKS,instagram,78239,18445,17912,89
Skincare,08/06/2021,LINK_CLICKS,facebook,276013,60587,56776,1286
Skincare,08/06/2021,LINK_CLICKS,instagram,32747,7080,7011,34
Skincare,09/06/2021,LINK_CLICKS,facebook,281097,67092,59122,1453
Skincare,09/06/2021,LINK_CLICKS,instagram,52029,10249,9968,85
Skincare,10/06/2021,LINK_CLICKS,facebook,273162,58933,53376,1356
Skincare,10/06/2021,LINK_CLICKS,instagram,34296,8360,8360,55
Skincare,11/06/2021,LINK_CLICKS,facebook,271546,53469,48032,1410
Skincare,11/06/2021,LINK_CLICKS,instagram,39966,6782,6782,58
Skincare,12/06/2021,LINK_CLICKS,facebook,280386,55812,50960,1405
Skincare,12/06/2021,LINK_CLICKS,instagram,60423,13502,12896,97
Skincare,13/06/2021,LINK_CLICKS,facebook,296027,62404,56529,1375
Skincare,13/06/2021,LINK_CLICKS,instagram,36223,10747,10064,71
Skincare,14/06/2021,LINK_CLICKS,facebook,277047,60928,55121,1336
Skincare,14/06/2021,LINK_CLICKS,instagram,28340,7705,7705,55
Skincare,15/06/2021,LINK_CLICKS,facebook,285688,63332,59504,1463
Skincare,15/06/2021,LINK_CLICKS,instagram,38847,15569,14880,94
